filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0219A_20181210_113114.txt,1164.0,0.8,0.7,90.2,90.4,983.4,986.2,1.5,1.5,1,0
0219A_20181210_113114.txt,1165.0,0.6,0.7,90.4,90.4,988.0,985.9,1.5,1.6,1,0
0219A_20181210_150739.txt,206.0,1.5,1.5,89.2,89.3,987.6,990.0,3.7,3.6,1,0
0219A_20181210_150739.txt,266.0,1.4,1.5,89.1,89.2,986.9,990.0,2.4,2.4,1,0
0219A_20181210_141419.txt,3.0,1.1,1.0,91.6,91.5,986.9,989.3,2.1,2.1,1,0
0219A_20181210_141419.txt,23.0,1.0,1.0,91.5,91.6,987.0,989.1,2.0,2.0,1,0
0219A_20181210_141419.txt,29.0,1.0,1.0,91.5,91.5,988.1,989.3,2.1,2.0,1,0
0219A_20181210_141419.txt,43.0,0.9,1.0,91.3,91.3,987.8,989.4,2.0,2.0,1,0
0219A_20181210_141419.txt,69.0,1.0,1.0,91.4,91.5,986.9,989.3,1.8,1.8,1,0
0219A_20181210_141419.txt,83.0,1.0,1.0,91.6,91.4,987.5,989.2,1.8,1.7,1,0
0219A_20181210_141419.txt,92.0,1.0,1.0,91.4,91.5,989.5,988.2,1.6,1.6,1,0
0219A_20181210_141419.txt,93.0,1.0,1.0,91.5,91.5,984.4,988.3,1.5,1.6,1,0
0219A_20181210_141419.txt,95.0,0.9,1.0,91.5,91.5,989.9,988.5,1.6,1.6,1,0
0219A_20181210_141419.txt,96.0,0.9,1.0,91.3,91.5,985.7,988.5,1.6,1.6,1,0
0219A_20181210_141419.txt,113.0,1.0,0.9,91.4,91.4,986.7,989.1,1.5,1.5,1,0
0219A_20181210_141419.txt,126.0,1.0,1.0,91.5,91.4,988.1,989.3,1.5,1.6,1,0
0219A_20181210_141419.txt,133.0,1.0,1.0,91.5,91.5,984.2,989.0,1.6,1.6,1,0
0219A_20181210_141419.txt,143.0,1.0,1.0,91.6,91.5,983.2,988.3,1.6,1.5,1,0
0219A_20181210_141419.txt,146.0,1.0,1.0,91.6,91.5,986.0,988.2,1.6,1.6,1,0
0219A_20181210_141419.txt,160.0,1.0,1.0,91.6,91.5,987.7,989.0,1.5,1.4,1,0
0219A_20181210_141419.txt,170.0,0.9,0.9,91.5,91.5,986.4,988.5,1.6,1.5,1,0
0219A_20181210_141419.txt,173.0,1.0,1.0,91.5,91.5,986.5,988.5,1.5,1.6,1,0
0219A_20181210_141419.txt,177.0,0.9,1.0,91.4,91.5,990.2,988.5,1.6,1.5,1,0
0219A_20181210_141419.txt,180.0,1.0,1.0,91.5,91.5,987.0,988.9,1.5,1.5,1,0
0219A_20181210_141419.txt,193.0,0.9,1.0,91.4,91.5,982.9,987.9,1.4,1.4,1,0
0219A_20181210_141419.txt,198.0,1.1,1.0,91.5,91.5,989.0,987.8,1.4,1.4,1,0
0219A_20181210_141419.txt,200.0,1.0,1.0,91.6,91.5,986.6,988.4,1.4,1.4,1,0
0219A_20181210_141419.txt,210.0,1.2,1.0,91.0,91.2,986.1,988.5,1.4,1.4,1,0
0219A_20181210_141419.txt,212.0,1.0,1.0,91.1,91.2,989.5,988.1,1.5,1.4,1,0
0219A_20181210_141419.txt,215.0,0.9,1.0,91.4,91.3,984.6,988.0,1.4,1.4,1,0
0219A_20181210_141419.txt,220.0,1.1,1.1,91.5,91.4,985.4,987.9,1.5,1.4,1,0
0219A_20181210_141419.txt,221.0,1.2,1.1,91.3,91.4,989.2,987.8,1.3,1.4,1,0
0219A_20181210_141419.txt,223.0,0.9,1.0,91.5,91.4,986.2,987.8,1.4,1.4,1,0
0219A_20181210_141419.txt,224.0,1.1,1.0,91.4,91.4,989.3,987.9,1.4,1.4,1,0
0219A_20181210_141419.txt,225.0,1.1,1.0,91.6,91.4,983.4,987.8,1.4,1.5,1,0
0219A_20181210_141419.txt,226.0,0.9,1.0,91.4,91.4,989.3,988.0,1.4,1.5,1,0
0219A_20181210_141419.txt,228.0,0.7,1.0,91.3,91.5,989.6,987.9,1.6,1.5,1,0
0219A_20181210_141419.txt,231.0,1.1,0.9,91.6,91.5,987.0,989.0,1.5,1.6,1,0
0219A_20181210_141419.txt,232.0,0.9,0.9,91.5,91.5,990.7,989.0,1.7,1.6,1,0
0219A_20181210_141419.txt,238.0,1.1,1.0,91.5,91.5,987.8,989.3,1.7,1.7,1,0
0219A_20181210_141419.txt,241.0,1.1,1.0,91.4,91.5,989.4,988.1,1.6,1.7,1,0
0219A_20181210_141419.txt,243.0,1.1,1.0,91.7,91.5,983.5,988.0,1.6,1.7,1,0
0219A_20181210_141419.txt,244.0,1.0,1.0,91.5,91.5,990.2,988.2,1.8,1.7,1,0
0219A_20181210_141419.txt,245.0,0.9,1.0,91.4,91.5,983.6,988.2,1.6,1.7,1,0
0219A_20181210_141419.txt,248.0,1.0,1.0,91.5,91.5,989.6,988.4,1.7,1.7,1,0
0219A_20181210_141419.txt,252.0,1.1,1.0,91.5,91.5,989.7,988.4,1.6,1.7,1,0
0219A_20181210_141419.txt,253.0,0.8,1.0,91.4,91.5,988.9,987.5,1.8,1.7,1,0
0219A_20181210_141419.txt,254.0,1.1,1.0,91.6,91.5,989.6,986.5,1.7,1.7,1,0
0219A_20181210_141419.txt,255.0,0.9,1.0,91.5,91.5,988.8,985.1,1.6,1.7,1,0
0219A_20181210_141419.txt,256.0,1.0,1.0,91.4,91.5,979.0,984.4,1.7,1.7,1,0
0219A_20181210_141419.txt,257.0,1.1,1.0,91.5,91.5,980.1,982.7,1.6,1.7,1,0
0219A_20181210_141419.txt,259.0,0.8,1.0,91.4,91.5,975.9,978.7,1.6,1.7,1,0
0219A_20181210_141419.txt,260.0,1.0,1.0,91.6,91.4,983.0,976.0,1.7,1.7,1,0
0219A_20181210_141419.txt,261.0,1.0,1.0,91.4,91.4,972.8,974.8,1.6,1.7,1,0
0219A_20181210_141419.txt,262.0,1.1,1.0,91.5,91.4,967.5,973.8,1.7,1.7,1,0
0219A_20181210_141419.txt,263.0,0.9,1.0,91.4,91.4,970.6,972.6,1.8,1.7,1,0
0219A_20181210_141419.txt,264.0,1.0,1.0,91.3,91.4,962.5,971.3,1.7,1.8,1,0
0219A_20181210_141419.txt,265.0,0.9,1.0,91.5,91.5,977.6,970.6,1.8,1.8,1,0
0219A_20181210_141419.txt,268.0,1.1,0.9,91.4,91.5,966.8,969.0,2.0,1.9,1,0
0219A_20181210_141419.txt,270.0,0.9,1.0,91.5,91.5,968.7,972.2,2.0,1.9,1,0
0219A_20181210_141419.txt,271.0,1.1,1.0,91.6,91.5,969.4,972.3,2.0,2.0,1,0
0219A_20181210_141419.txt,272.0,1.0,1.0,91.6,91.5,968.9,974.0,2.0,2.0,1,0
0219A_20181210_141419.txt,273.0,1.0,1.0,91.6,91.6,978.5,975.5,1.9,2.0,1,0
0219A_20181210_141419.txt,274.0,1.0,1.0,91.5,91.6,986.1,976.4,2.1,2.0,1,0
