filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0224A_20170501_150633.txt,301603.0,21.5,20.9,34.0,33.9,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301607.0,21.3,20.7,33.9,33.9,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301608.0,20.3,20.8,34.0,33.9,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301609.0,20.0,20.8,33.8,33.8,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301616.0,21.3,20.8,33.8,33.7,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301617.0,20.3,20.8,33.9,33.7,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301618.0,21.4,20.8,33.6,33.7,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301626.0,19.9,21.1,33.9,33.7,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301629.0,21.7,21.0,33.7,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301637.0,21.1,20.6,33.8,33.9,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301638.0,20.0,20.6,34.3,33.9,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301641.0,21.3,20.7,33.9,34.2,986.8,986.5,0.2,0.1,1,0
0224A_20170501_150633.txt,301643.0,21.4,20.7,34.1,34.3,986.8,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,301644.0,20.1,20.8,34.4,34.2,986.4,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,301646.0,21.5,20.8,34.4,34.3,986.7,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,301650.0,20.3,20.8,34.8,34.5,986.7,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,301846.0,20.4,20.9,33.3,33.4,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301862.0,20.3,20.9,33.9,33.8,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301880.0,20.1,21.0,34.0,34.0,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301882.0,21.4,20.9,34.1,34.0,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301883.0,21.5,21.0,34.3,34.0,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301884.0,21.8,21.1,33.8,34.0,986.4,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301885.0,20.5,21.1,33.7,34.0,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301886.0,20.4,21.2,33.8,34.1,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301888.0,22.0,21.1,34.1,34.1,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301891.0,20.2,20.9,34.3,34.2,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301892.0,21.5,20.9,33.9,34.2,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301895.0,20.2,20.7,34.1,34.2,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301905.0,21.5,20.8,33.9,33.8,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301906.0,21.6,20.9,33.9,33.8,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301907.0,20.2,20.9,33.7,33.8,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301909.0,21.5,20.8,33.6,33.7,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301910.0,21.3,20.8,34.0,33.7,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301914.0,20.0,20.6,33.7,33.7,986.4,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301915.0,21.2,20.4,33.6,33.7,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301919.0,19.7,20.7,34.0,33.7,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301920.0,21.6,20.8,33.4,33.7,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301922.0,21.5,21.0,33.9,33.7,986.9,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301923.0,21.6,21.0,33.2,33.6,986.2,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,301928.0,20.1,21.2,33.9,33.5,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,301929.0,21.8,21.1,33.4,33.5,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,301931.0,20.2,21.2,33.5,33.5,986.4,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,301932.0,21.7,21.1,33.3,33.5,986.8,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,301934.0,21.8,21.1,33.4,33.5,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301936.0,20.5,21.1,33.5,33.6,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301947.0,20.2,21.0,33.7,33.3,986.5,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301948.0,22.0,20.9,33.5,33.4,986.9,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301950.0,20.4,20.9,33.4,33.4,986.1,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301951.0,21.7,20.9,33.1,33.5,986.9,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301952.0,20.2,20.9,33.5,33.5,986.4,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301954.0,21.5,20.8,33.6,33.5,986.7,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301957.0,19.7,20.9,33.6,33.5,986.2,986.6,0.1,0.1,1,0
0224A_20170501_150633.txt,301961.0,21.5,20.9,33.1,33.5,986.9,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301964.0,22.1,21.2,33.3,33.5,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301970.0,20.4,20.9,33.8,33.6,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301974.0,21.6,20.9,33.7,33.7,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301975.0,20.3,20.8,33.9,33.7,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301978.0,21.6,20.9,33.8,33.8,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301982.0,21.7,21.0,33.8,33.8,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301983.0,20.4,20.9,33.9,33.7,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301984.0,21.4,20.8,34.0,33.7,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301985.0,21.5,20.8,33.6,33.7,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301986.0,20.3,20.8,33.4,33.7,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301992.0,20.2,20.8,33.7,33.5,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301993.0,21.8,20.7,33.4,33.5,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301996.0,21.6,20.8,33.0,33.5,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301997.0,20.1,20.8,33.4,33.4,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,301998.0,21.8,21.0,33.1,33.4,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302000.0,20.2,20.7,33.5,33.4,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302002.0,21.5,20.7,33.3,33.3,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302004.0,19.9,20.7,33.4,33.3,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302005.0,21.3,20.7,33.4,33.2,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302013.0,21.8,20.9,33.2,33.2,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302014.0,19.9,20.9,33.2,33.1,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302015.0,21.7,21.0,33.5,33.1,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302019.0,21.6,20.9,32.8,33.2,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302020.0,20.2,21.1,33.7,33.3,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302025.0,20.1,20.6,33.5,33.4,986.0,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302026.0,20.1,20.7,33.6,33.3,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302035.0,21.7,21.0,33.5,33.3,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302036.0,20.3,20.9,33.2,33.3,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302037.0,21.4,20.9,33.6,33.2,986.0,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302040.0,20.3,20.8,33.0,33.4,986.2,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302046.0,20.2,20.7,33.8,33.6,986.7,986.4,0.1,0.1,1,0
