ID,LAT,LON,CITY,ELEV_ft
KAKQ,36.9839,-77.0072,"Norfolk/Richmond, VA",112
KLNX,41.9578,-100.5764,"North Platte, NE",2970
KTLX,35.3331,-97.2778,"Oklahoma City, OK",1213
KOAX,41.3203,-96.3667,"Omaha, NE",1148
KPAH,37.0683,-88.7719,"Paducah, KY",392
KPDT,45.6906,-118.8528,"Pendleton, OR",1515
KDIX,39.9469,-74.4108,"Philadelphia, PA",149
KIWA,33.2892,-111.67,"Phoenix, AZ",1353
KPBZ,40.5317,-80.2181,"Pittsburgh, PA",1185
KSFX,43.1058,-112.6861,"Pocatello/Idaho Falls, ID",4474
KGYX,43.8914,-70.2564,"Portland, ME",409
KRTX,45.7147,-122.9653,"Portland, OR",1572
KPUX,38.4594,-104.1814,"Pueblo, CO",5249
KRAX,35.6656,-78.4897,"Raleigh/Durham, NC",348
KUDX,44.125,-102.8297,"Rapid City, SD",3016
KRGX,39.7542,-119.4622,"Reno, NV",8299
KRIW,43.0661,-108.4772,"Riverton, WY",5568
KFCX,37.0244,-80.2739,"Roanoke, VA",2868
KJGX,32.6753,-83.3511,"Robins AFB, GA",521
KDAX,38.5011,-121.6778,"Sacramento, CA",30
KLSX,38.6989,-90.6828,"Saint Louis, MO",608
KMTX,41.2628,-112.4478,"Salt Lake City, UT",6460
KSJT,31.3714,-100.4925,"San Angelo, TX",1890
KNKX,32.9189,-117.0419,"San Diego, CA",955
KMUX,37.1553,-121.8983,"San Francisco, CA",3469
KHNX,36.3142,-119.6322,"San Joaquin Valley, CA",243
TJUA,18.1156,-66.0781,"San Juan, PR",2794
KSOX,33.8178,-117.6358,"Santa Ana Mountains, CA",3027
KATX,48.1944,-122.4958,"Seattle/Tacoma, WA",494
KSHV,32.4508,-93.8414,"Shreveport, LA",273
KFSD,43.5878,-96.7294,"Sioux Falls, SD",1430
PACG,56.8528,-135.5292,"Sitka, AK",209
PHKI,21.8942,-159.5522,"South Kauai, HI",179
PHWA,19.095,-155.5689,"South Shore, HI",1380
KOTX,47.6803,-117.6267,"Spokane, WA",2384
KSGF,37.2353,-93.4006,"Springfield, MO",1278
KCCX,40.9231,-78.0036,"State College, PA",2405
KLWX,38.9753,-77.4778,"Sterling, VA",272
KTLH,30.3975,-84.3289,"Tallahassee, FL",63
KTBW,27.7056,-82.4017,"Tampa, FL",41
KTWX,38.9969,-96.2325,"Topeka, KS",1367
KEMX,31.8936,-110.6303,"Tucson, AZ",5205
KINX,36.175,-95.5647,"Tulsa, OK",668
KVNX,36.7408,-98.1278,"Vance AFB, OK",1210
KVBX,34.8381,-120.3969,"Vandenberg AFB, CA",1223
KICT,37.6547,-97.4428,"Wichita, KS",1335
KLTX,33.9894,-78.4289,"Wilmington, NC",64
KYUX,32.4953,-114.6567,"Yuma, AZ",174
